,Product,Price,Score,Reviews
0,ASUS Chromebook C523NA-A20209 - Chromebook - 15.6 inch,265.95,4.4,66
1,Lenovo Ideapad L340-15IRH 81LK0150MH - Gaming Laptop - 15.6 Inch,729.0,4.6,19
2,"Apple MacBook Air (April, 2020) MWTJ2N/A - 13.3 inch - Intel Core i3 - 256 GB - Spacegrijs",979.0,4.8,13
3,Asus Chromebook C523NA-EJ0186 - Chromebook - 15.6 Inch,299.0,4.4,66
4,HP 17-by3740nd - Laptop - 17.3 Inch,749.0,4.7,10
5,ASUS TUF Gaming FX505GT-BQ166T - Gaming Laptop - 15.6 inch,749.0,4.3,11
6,Lenovo Ideapad S330 Chromebook 81JW0009MH - Chromebook - 14 Inch,217.73,4.3,40
7,ASUS VivoBook 15 K512JP-BQ281T - Laptop - 15.6 Inch,849.0,4.5,22
8,Lenovo Ideapad Slim 1-14AST-05 81VS006SMH - Laptop - 14 Inch,150.67,3.6,24
9,ASUS Chromebook C523NA-EJ0055 - Chromebook - 15.6 Inch,245.95,4.4,66
10,HP Laptop 15s-fq1710nd - Laptop - 15.6 Inch,629.0,4.5,8
11,"Apple Macbook Air (April, 2020) MWTL2 - 13.3 inch - Intel Core i3 - 256 GB - Rose Goud",979.0,4.8,13
12,Acer Swift 1 SF114-32-C7C0 - Laptop - 14 Inch,379.0,4.0,13
13,ASUS TUF Gaming FX505DT-BQ613T - Gaming Laptop - 15.6 inch,799.0,4.5,39
14,"Apple Macbook Pro (April, 2020) MXK32 - 13.3 inch - Intel Core i5 - 256 GB - Spacegrijs",1349.0,4.9,9
15,Lenovo Ideapad 3 Chromebook 82C1000YMH - Chromebook - 14 Inch,255.95,4.6,21
16,HP 17-by2733nd - Laptop - 17.3 Inch,599.0,4.7,23
17,HP Pavilion x360 14-dw0710nd - 2-in-1 Laptop - 14 Inch,669.0,4.5,33
18,"Apple Macbook Air (April, 2020) MWTK2N/A - 13.3 inch - Intel Core i3 - 256 GB - Zilver",926.0,4.8,13
19,ASUS ROG G512LW-HN118T - Gaming Laptop - 15.6 inch,1499.0,4.7,15
20,Lenovo Ideapad 3 15IIL05 81WE00J4MH - Laptop - 15.6 Inch,749.95,4.5,11
21,Lenovo Ideapad Duet Chromebook CT-X636F ZA6F0027NL - Chromebook - 10.1 Inch,229.0,4.7,27
22,AMD Quad Core Basics  | Game Computer PC,299.0,3.7,6
23,"Basic Gaming PC (Ryzen 5 3600 4,2 Ghz, 16 GB DDR4 werkgeheugen, GTX 1650, 240GB SSD schijf en 1 TB HDD)",659.0,4.8,5
24,AMD Gaming Pc Basics Quadcore  | Game Computer PC,299.0,5.0,3
25,AMD Ryzen 3 3200G Budget Game Computer (Geschikt voor Fortnite),359.0,3.7,82
26,MSI Infinite A 9SD-1005EU - Intel Core i7 (9th gen) - 16 GB - 1TB SSD - NVIDIA GeForce RTX 2070 SUPER - Game PC,1499.0,5.0,1
27,AMD Ryzen 7 2700X High-End RGB Game Computer / Gaming PC - GTX 1660 6GB - 16GB RAM - 512GB SSD (M2.0) - Win10 Pro,899.0,4.3,21
28,Medium Game PC - Ryzen 5 3400G - 16GB DDR4 - GeForce GT 1650 4GB GDDR5 - 120GB SSD + 1TB HDD,564.95,4.6,10
29,AMD Ryzen 3 3200G Budget Game Computer V.2 / Gaming PC LSE2200 - RX Vega 8 - 8GB DDR4 2666 RAM + 1TB HDD - Windows 10,419.0,3.7,17
30,REBELPLAY Gaming PC - Ryzen 7 - RTX 2060 - 16GB RAM - 480GB SSD - RGB - WiFi,939.0,4.7,3
31,"All-round Gaming PC Lucky7 (Ryzen 5 3600 4,2 Ghz, 16 GB DDR4 werkgeheugen, GTX 1650, 240GB SSD schijf en 1 TB HDD, RGB verlichting, WIFI) Zeer geschikt voor Fortnite!",697.0,5.0,6
32,Vibox Gaming Desktop 1-2 - Game PC,679.95,4.2,20
33,AMD Ryzen 5 2600 Allround Game Computer / Gaming PC - GeForce GTX 1050 Ti 4GB - 16GB RAM - 120GB SSD - 1TB HDD - Windows 10,595.0,4.2,21
34,"High-End Game PC v2 RGB - Ryzen 7 3700X 4,4Ghz, RTX 2060, 16GB DDR4 werkgeheugen, 250GB NVME SSD + 1TB HDD met RGB verlichting en WIFI. Speel alle games op hoge settings!",1129.0,5.0,8
35,ScreenON - Intel Core i9 - RTX 3090 - GamePC.Y58186 - WiFi,6995.0,4.0,1
36,"DESTROYER Game PC Intel i5 10400F, GeForce GTX1660 Super, 16GB, 250 GB NVME SSD, 1TB HDD, WiFI",849.0,5.0,2
37,Game Computer (Geschikt voor Fortnite op Medium/High Settings) / Ryzen 3 2200G Gaming PC LSE2200-F - RX Vega 8 - 8GB 1TB - Medium/High Performance,365.0,3.6,18
38,ScreenON - Ryzen 5 - 240GB M.2 SSD + 1TB HDD - GamePC.Y32173 - WiFi,459.0,3.0,2
39,"Allround Gaming PC aRGB (Ryzen 5 3600 4,2 Ghz, 16 GB DDR4 werkgeheugen, GTX 1650, 240GB SSD schijf en 1 TB HDD, aRGB, WIFI) Fortnite, League of Legends, Rocket League, Overwatch, Minecraft, GTA 5 op High!",697.0,5.0,1
40,AMD Ryzen 5 2600X Game PC / Gaming computer - GTX 1650 4GB - 16GB RAM - 120GB SSD - 1TB HDD - GAMDIAS,635.0,4.3,21
41,ScreenON - AMD 3000G - 240Gb M.2 SSD - WiFi - Game Computer,299.0,3.8,4
42,AMD Ryzen 5 2600X Game Computer / Streaming PC - GeForce RTX 2060 6GB - 16GB RAM - 960GB SSD,899.0,4.3,21
43,REBELPLAY Gaming PC - Ryzen 7 - GTX 1660 - 16GB RAM - 480GB SSD - RGB - WiFi,835.0,5.0,2
