,Product_Name,Price,Review,Number_Of_Reviews,Category
0, HP Pavilion 15-cw1039nb Azerty,"769,00",4.5 ,89 ,Laptops
1, Acer Aspire 3 A315-56-55ZJ Azerty,"649,00",4.5 ,43 ,Laptops
2, Acer Aspire 3 A315-56-51Z4 Azerty,"619,00",4.5 ,43 ,Laptops
3, Acer Aspire 5 A515-55G-52BM Azerty,"769,00",4.5 ,34 ,Laptops
4, Lenovo Thinkbook 15 - 20SM003FMB Azerty,"1.099,00",4.5 , 1 ,Laptops
5," Apple MacBook Air (2020) 8/256GB 1,1GHz Space Gray AZERTY","                    1.249,00",4.5 ,89 ,Laptops
6, HP 15-dw1040nb Azerty,"699,00",4.5 , 4 ,Laptops
7, Acer Aspire 3 A315-23-R3WY Azerty,"599,00",4.5 ,43 ,Laptops
8, Asus Vivobook 15 P1504JA-EJ573T-BE Azerty,"749,00",4.5 , 6 ,Laptops
9, HP 15-dw1043nb Azerty,"959,00",5 , 3 ,Laptops
10, HP Pavilion x360 14-dh1009nb Azerty,"1.149,00",4.5 , 8 ,Laptops
11," Apple MacBook Pro 13"" (2020) MYD92FN/A Space Gray AZERTY","1.679,00",0 , 0 ,Laptops
12, Acer Nitro 5 AN517-52-79HM Azerty,"1.459,00",5 , 7 ,Laptops
13, HP Pavilion 15-cw1017nb Azerty,"669,00",4.5 ,89 ,Laptops
14, Apple MacBook Air (2020) MGN73FN/A Space Gray AZERTY,"1.399,00",0 , 0 ,Laptops
15, Apple MacBook Air (2020) MGN63FN/A Space Gray AZERTY,"1.129,00",0 , 0 ,Laptops
16, HP 15-dw1041nb Azerty,"649,00",4.5 , 4 ,Laptops
17, Acer Aspire 5 A514-53-556R Azerty,"649,00",4.5 ,34 ,Laptops
18, Lenovo IdeaPad 5 15IIL05 81YK00F3MB Azerty,"899,00",4.5 ,21 ,Laptops
19," Apple MacBook Pro 13"" (2020) MYD82FN/A Space Gray AZERTY","1.449,00",0 , 0 ,Laptops
20, HP ENVY x360 15-ed0013nb Azerty,"1.269,00",4.5 ,10 ,Laptops
21, HP Pavilion 15-cs3061nb Azerty,"1.229,00",4.5 ,21 ,Laptops
22, Lenovo IdeaPad 5 15IIL05 81YK00F4MB Azerty,"969,00",4.5 ,21 ,Laptops
23, Acer Aspire 3 A314-22-R2MK Azerty,"449,00",4.5 ,12 ,Laptops
24, Acer Swift 3 SF314-41-R71B Azerty,"                    599,00",4.5 ,37 ,Laptops
25, HP Pavilion x360 15-dq1014nb Azerty,"949,00",4.5 , 4 ,Laptops
26, Acer Aspire 7 A715-75G-78VA Azerty,"                    1.139,00",4.5 ,12 ,Laptops
27, Lenovo IdeaPad L340-15IRH Gaming 81LK01GCMB Azerty,"799,00",4.5 ,59 ,Laptops
28, Acer Aspire 3 A314-21-48VN Azerty,"329,00",4.5 ,12 ,Laptops
29, Lenovo  V340 - 81RG0024MB Azerty,"879,00",4.5 , 2 ,Laptops
30, Acer Chromebook 315 CB315-3HT-C3RY Azerty,"409,00",5 , 2 ,Laptops
31, Apple Macbook Air (2020) MVH22FN/A Space Gray AZERTY,"1.339,00",4.5 ,89 ,Laptops
32, Apple Macbook Air (2020) MWTJ2FN/A Space Gray AZERTY,"1.069,00",4.5 ,89 ,Laptops
33, HP OMEN 15-dh1092nb Azerty,"1.599,00",4 , 5 ,Laptops
34, Lenovo Chromebook IdeaPad 3 11IGL05 82BA000QMB Azerty,"                    249,00",0 , 0 ,Laptops
35, Lenovo IdeaPad L340-17IRH 81LL003EMB Azerty,"1.169,00",4.5 ,42 ,Laptops
36, Asus Chromebook C434TA-AI0064 - Azerty,"679,00",5 , 1 ,Laptops
37, Lenovo IdeaPad L340-17IRH Gaming 81LL00GUMB Azerty,"799,00",4.5 ,42 ,Laptops
38, HP 17-by2091nb Azerty,"                    649,00",0 , 0 ,Laptops
39, Asus Chromebook C423NA-EB0122-Azerty,"399,00",4.5 , 7 ,Laptops
40, HP 17-by3049nb Azerty,"629,00",4 , 8 ,Laptops
41, Asus X705MA-BX186T-BE Azerty,"                    499,00",0 , 0 ,Laptops
42, HP 17-by3050nb Azerty,"729,00",4 , 8 ,Laptops
43," Apple MacBook Pro 13"" (2020) MWP42FN/A Space Gray AZERTY","1.989,00",5 ,19 ,Laptops
44, Acer Chromebook 314 CB314-1HT-C1MK Azerty,"                    399,00",5 , 2 ,Laptops
45," Apple MacBook Pro 13"" (2020) MWP52FN/A Space Gray AZERTY","2.359,00",5 ,19 ,Laptops
46, HP OMEN 17-cb1029nb Azerty,"1.799,00",4.5 ,13 ,Laptops
47, HP Pavilion 15-cw1071nb Azerty,"849,00",4.5 ,89 ,Laptops
48, HP 14s-fq0114nb Azerty,"699,00",4.5 ,19 ,Laptops
49, HP Pavilion G 15-dk1037nb Azerty,"1.129,00",4.5 ,22 ,Laptops
50," Apple MacBook Pro 16"" Touch Bar (2019) MVVJ2FN/A Space Gray","2.549,00",4.5 ,14 ,Laptops
51, Apple Macbook Air (2020) MVH52FN/A Goud AZERTY,"1.339,00",4.5 ,89 ,Laptops
52, Lenovo IdeaPad L340-17IRH Gaming 81LL00CCMB Azerty,"929,00",4.5 ,42 ,Laptops
53, HP Pavilion G 17-cd1015nb Azerty,"1.259,00",4.5 ,33 ,Laptops
54, HP 14s-dq1179nb Azerty,"649,00",4 , 1 ,Laptops
55, Lenovo IdeaPad S145-14IIL 81W60034MB Azerty,"579,00",4 , 8 ,Laptops
56, Asus Vivobook 15 X571LI-BQ102T-BE Azerty,"1.319,00",4.5 , 3 ,Laptops
57, Lenovo IdeaPad Flex 5 14IIL05 81X100CNMB Azerty,"799,00",4.5 , 3 ,Laptops
58, Acer Aspire 3 A317-51-33BR Azerty,"499,00",4.5 , 7 ,Laptops
59, HP 17-by3041nb Azerty,"929,00",4 , 8 ,Laptops
60, Asus L210MA-GJ010TS-BE Azerty,"319,00",4.5 , 3 ,Laptops
61," Apple MacBook Pro 16"" Touch Bar (2019) MVVK2FN/A Space Gray","2.899,00",5 , 9 ,Laptops
62, Acer Aspire 3 A314-22-R689 Azerty,"499,00",4.5 ,12 ,Laptops
63, HP Pavilion 13-an1020nb Azerty,"699,00",4 , 3 ,Laptops
64, Acer Aspire 3 A317-51-32LZ Azerty,"                    649,00",4.5 , 7 ,Laptops
65, Acer Nitro 5 AN517-52-7981 Azerty,"1.279,00",5 , 7 ,Laptops
66, HP OMEN 15-en0009nb Azerty,"1.649,00",0 , 0 ,Laptops
67, Acer Aspire 7 A715-41G-R055 Azerty,"769,00",4.5 ,12 ,Laptops
68, Lenovo IdeaPad L340-17IRH 81LL003DMB Azerty,"1.049,00",4.5 ,42 ,Laptops
69, HP 15-dw1037nb Azerty,"549,00",5 , 3 ,Laptops
70, HP Pavilion x360 15-dq1013nb Azerty,"799,00",4.5 , 4 ,Laptops
71, Lenovo IdeaPad L340-15IRH Gaming 81LK01GWMB Azerty,"1.099,00",4.5 ,59 ,Laptops
72, Lenovo IdeaPad L340-15IRH 81LK009LMB Azerty,"1.069,00",4.5 ,59 ,Laptops
73, Lenovo IdeaPad 3 17ADA05 81W20033MB Azerty,"                    499,00",4 , 1 ,Laptops
74, HP Pavilion 14-ce3040nb Azerty,"989,00",3 , 2 ,Laptops
75, Lenovo IdeaPad S540-13IML 81XA007JMB Azerty,"899,00",0 , 0 ,Laptops
76, Lenovo IdeaPad 3 14IIL05 81WD00BHMB Azerty,"499,00",4 , 1 ,Laptops
77, Lenovo IdeaPad L340-15IRH Gaming 81LK01GFMB Azerty,"899,00",4.5 ,59 ,Laptops
78, Apple Macbook Air (2020) MWTL2FN/A Goud AZERTY,"1.069,00",4.5 ,89 ,Laptops
79, Lenovo IdeaPad 3 15IIL05 81WE00FLMB Azerty,"589,00",4.5 ,13 ,Laptops
80, Lenovo IdeaPad Flex 5 15IIL05 81X3004SMB Azerty,"999,00",4.5 , 7 ,Laptops
81, Lenovo IdeaPad 3 14IIL05 81WD00BGMB Azerty,"                    669,00",4 , 1 ,Laptops
82, HP 17-by3052nb Azerty,"799,00",4 , 8 ,Laptops
83, Apple MacBook Air (2020) MGND3FN/A Goud AZERTY,"1.129,00",0 , 0 ,Laptops
84, Apple MacBook Air (2020) MGN93FN/A Zilver AZERTY,"1.129,00",0 , 0 ,Laptops
85, Apple Macbook Air (2020) MVH42FN/A Zilver AZERTY,"1.339,00",4.5 ,89 ,Laptops
86, Lenovo IdeaPad 3 15ADA05 81W100ACMB Azerty,"539,00",4 , 5 ,Laptops
87, Acer Swift 3 SF314-58-562K Azerty,"679,00",4.5 ,37 ,Laptops
88, Lenovo Gaming 3 15IMH05 81Y400GEMB Azerty,"1.129,00",4.5 , 3 ,Laptops
89, Asus VivoBook Flip14 TP401MA-EC156T-BE Azerty,"                    429,00",4.5 , 4 ,Laptops
90, Acer Aspire 3 A317-52-79HM Azerty,"839,00",4.5 , 7 ,Laptops
91, HP 15-dw1039nb Azerty,"769,00",5 , 3 ,Laptops
92, Acer Aspire 3 A317-51G-50GM Azerty,"819,00",4.5 , 7 ,Laptops
93, Asus X705MA-BX187T-BE Azerty,"409,00",4 , 1 ,Laptops
94, Lenovo IdeaPad 3 17ADA05 81W20035MB Azerty,"679,00",4 , 1 ,Laptops
95, HP Pavilion G 17-cd1039nb Azerty,"899,00",4.5 ,33 ,Laptops
96, Lenovo Legion 5 17IMH05H 81Y80046MB Azerty,"1.399,00",4.5 , 3 ,Laptops
97," Apple MacBook Air (2020) 8/256GB 1,1GHz Goud AZERTY","                    1.249,00",4.5 ,89 ,Laptops
98, Lenovo ThinkBook 13s - 20RR004QMB Azerty,"999,00",4.5 , 6 ,Laptops
99, Acer Aspire 7 A715-75G-527R Azerty,"879,00",4.5 ,12 ,Laptops
100, Asus Vivobook 15 P1504JA-EJ574T-BE Azerty,"799,00",4.5 , 6 ,Laptops
101, Acer Aspire 3 A317-51G-53YF Azerty,"819,00",4.5 , 7 ,Laptops
102, Lenovo IdeaPad L340-15IRH Gaming 81LK01GDMB Azerty,"999,00",4.5 ,59 ,Laptops
103," Apple MacBook Pro 13"" (2020) 16GB/256GB - 1,4GHz Space Gray AZERTY","                    1.749,00",4.5 , 3 ,Laptops
104, HP Pavilion G 15-dk1032nb Azerty,"849,00",4.5 ,22 ,Laptops
105, Acer Swift 3 SF314-58G-59YD Azerty,"779,00",4.5 ,37 ,Laptops
106, Acer Aspire 7 A715-75G-55FY Azerty,"                    849,00",4.5 ,12 ,Laptops
107, HP 15s-fq1059nb Azerty,"869,00",4.5 , 9 ,Laptops
108, HP Pavilion G 15-dk1040nb Azerty,"1.299,00",4.5 ,22 ,Laptops
109, Lenovo IdeaPad S540-13IML 81XA007MMB Azerty,"                    1.149,00",0 , 0 ,Laptops
110, HP Probook 440 G7 i3-8gb-256ssd Azerty,"849,00",0 , 0 ,Laptops
111, HP ENVY x360 15-ee0003nb Azerty,"1.069,00",4.5 ,10 ,Laptops
112, HP 17-ca1129nb Azerty,"579,00",4 , 2 ,Laptops
113, HP Pavilion 13-an1023nb Azerty,"749,00",4 , 3 ,Laptops
114, HP Spectre x360 15-eb0000nb Azerty,"1.699,00",0 , 0 ,Laptops
115, MSI GF63 10SCSR-1014BE Azerty,"                    1.249,00",0 , 0 ,Laptops
116, HP 14s-dq1020nb Azerty,"579,00",4.5 , 4 ,Laptops
117, HP ENVY 17-cg0009nb Azerty,"1.299,00",5 , 6 ,Laptops
118, Acer Aspire 5 A515-54G-52D5 Azerty,"749,00",4.5 , 8 ,Laptops
119," Apple MacBook Pro 13"" (2020) 16GB/512GB - 1,7GHz Space Gray AZERTY","2.109,00",4.5 , 3 ,Laptops
120, Acer Swift 3 SF314-58G-796X Azerty,"869,00",4.5 ,37 ,Laptops
121, Acer Spin 3 SP314-54N-58HA Azerty,"                    849,00",4 , 3 ,Laptops
122, Lenovo IdeaPad Duet Chromebook Azerty,"299,00",4.5 , 4 ,Laptops
123, HP Pavilion 14-ce3036nb Azerty,"679,00",3 , 2 ,Laptops
124, HP 15s-fq1064nb Azerty,"                    579,00",0 , 0 ,Laptops
125, Lenovo IdeaPad 330-17AST 81D7007LMB Azerty,"399,00",4.5 , 1 ,Laptops
126, HP 14s-dq1178nb Azerty,"629,00",4 , 1 ,Laptops
127, Lenovo IdeaPad 3 14IIL05 81WD00BKMB Azerty,"419,00",4 , 1 ,Laptops
128, Lenovo IdeaPad Flex 5 15IIL05 81X3004QMB Azerty,"1.179,00",4.5 , 7 ,Laptops
129, Lenovo Gaming 3 15IMH05 81Y400GFMB Azerty,"949,00",4.5 , 3 ,Laptops
130, Apple Macbook Air (2020) MWTK2FN/A Zilver AZERTY,"1.069,00",4.5 ,89 ,Laptops
131, Lenovo IdeaPad 3 14IIL05 81WD00BJMB Azerty,"                    589,00",4 , 1 ,Laptops
132, Apple MacBook Air (2020) MGNA3FN/A Zilver AZERTY,"1.399,00",0 , 0 ,Laptops
133, Acer Aspire 3 A315-56-36JG Azerty,"559,00",4 ,19 ,Laptops
134, Acer Nitro 5 AN515-43-R2RA Azerty,"1.019,00",4.5 ,28 ,Laptops
135, Asus Chromebook C434TA-AI0304 Azerty,"649,00",0 , 0 ,Laptops
136, Lenovo IdeaPad Slim 1-11AST-05 81VR002RMB Azerty,"359,00",0 , 0 ,Laptops
137, HP 17-by2093nb Azerty,"629,00",0 , 0 ,Laptops
138," Apple MacBook Air (2020) 8/256GB 1,1GHz Zilver AZERTY","                    1.249,00",4.5 ,89 ,Laptops
139, Asus VivoBook Flip 14 TP412FA-EC551T-BE Azerty,"                    619,00",4.5 , 4 ,Laptops
