,Product_Name,Price,Review,Number_Of_Reviews,Category
0, HP Pavilion 15-cw1039nb Azerty,"749,00",4.5 ,89 ,Laptops
1," Apple MacBook Air (2020) 8/256GB 1,1GHz Space Gray AZERTY","1.249,00",4.5 ,89 ,Laptops
2, Acer Aspire 3 A315-56-55ZJ Azerty,"629,00",4.5 ,43 ,Laptops
3, Lenovo Thinkbook 15 - 20SM003FMB Azerty,"1.099,00",4.5 , 1 ,Laptops
4, Acer Aspire 3 A315-56-51Z4 Azerty,"599,00",4.5 ,43 ,Laptops
5, Acer Aspire 5 A515-55G-52BM Azerty,"719,00",4.5 ,34 ,Laptops
6, Acer Aspire 3 A315-23-R3WY Azerty,"599,00",4.5 ,43 ,Laptops
7, Acer Chromebook 314 CB314-1HT-C1MK Azerty,"399,00",5 , 2 ,Laptops
8, HP 15-dw1040nb Azerty,"679,00",4.5 , 4 ,Laptops
9, Acer Nitro 5 AN517-52-79HM Azerty,"1.459,00",5 , 7 ,Laptops
10, Acer Aspire 5 A514-53-556R Azerty,"649,00",4.5 ,34 ,Laptops
11, HP Pavilion 15-cw1017nb Azerty,"649,00",4.5 ,89 ,Laptops
12, Lenovo IdeaPad 5 15IIL05 81YK00F3MB Azerty,"899,00",4.5 ,21 ,Laptops
13, HP Pavilion 15-cs3061nb Azerty,"1.229,00",4.5 ,21 ,Laptops
14, HP 15-dw1043nb Azerty,"959,00",5 , 3 ,Laptops
15, HP Pavilion x360 14-dh1009nb Azerty,"1.149,00",4.5 , 8 ,Laptops
16, Asus Vivobook 15 P1504JA-EJ573T-BE Azerty,"729,00",4.5 , 6 ,Laptops
17, HP ENVY x360 15-ed0013nb Azerty,"1.249,00",4.5 ,10 ,Laptops
18, HP 15-dw1041nb Azerty,"629,00",4.5 , 4 ,Laptops
19, Apple Macbook Air (2020) MVH22FN/A Space Gray AZERTY,"1.339,00",4.5 ,89 ,Laptops
20, Acer Aspire 3 A314-21-48VN Azerty,"329,00",4.5 ,12 ,Laptops
21, Acer Aspire 3 A314-22-R2MK Azerty,"449,00",4.5 ,12 ,Laptops
